fips,state,st,year,d08,d10,d12,d14,d16,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage,maleprop,femaleprop,whiteprop,nonwhprop,blackprop,hispprop,asianprop,amindprop,multiprop,otherprop,lexp,health_index,hsplus,baccplus,hsprop,baccprop,gradprop,attain_score,attain_index,enrollprop,enroll_index,ed_index,inc_index,hdi,presvotes,tovep,tovap,toacs
1,Alabama,AL,2008,1,0,0,0,0,4661900,2258931,2402969,1123670,3072572,1408153,887771,3183788,1222202,128586,46143,22780,55022,3379,90863,78105,1066244,553752,1839658,441709,237453,27537.499999999996,38176.04395485519,19492.67060130365,37,37.475664214161604,0.48455157768291895,0.515448422317081,0.6829378579549111,0.31706214204508887,0.2621682146764195,0.027582316222999205,0.009897895707758638,0.004886419700122268,0.011802483965765031,7.24811772024282e-4,74.98,3.741666666666668,2518820,679162,0.819775744880836,0.22104022297931505,0.07728150878156802,1.118097476641719,4.120649844278128,0.757193287945273,4.491236798436372,4.244178828997542,3.760439995290696,3.908701248983362,2099819,0.608,0.584,0.6068621798345436
1,Alabama,AL,2010,0,1,0,0,0,4785298,2323385,2461913,1135416,3164299,1439166,934448,3206965,1262535,181638,50956,23732,57247,2225,122160,106572,1098864,564477,1900860,442936,256026,27644.999999999996,39311.406832148816,18739.493513173013,37,37.731154047250556,0.48552566632213917,0.5144743336778608,0.6701703843731363,0.32982961562686375,0.26383623339654083,0.03795751069212409,0.010648448644159675,0.0049593567631524725,0.011963100312666003,4.6496581822072524e-4,75.35,3.8958333333333313,2599822,698962,0.8216107264199749,0.2208899980690826,0.08091081152571233,1.1234115360147698,4.156076906765132,0.7635422182013749,4.67263480575357,4.32826287309461,3.787452104866702,3.9971800947686478,1494273,0.43,0.408,0.42171669992182453
1,Alabama,AL,2012,0,0,1,0,0,4822023,2332059,2489964,1125653,3211297,1436260,983939,3213709,1269287,185188,59291,24302,67118,3128,105879,95734,1091291,520725,1940546,469506,280520,27307.8,38278.75359042781,18103.43374267439,38,38.13675525811469,0.4836266853144417,0.5163733146855584,0.6664648841368032,0.33353511586319684,0.26322707295257614,0.03840462809903644,0.012295876647622793,0.005039793464278374,0.013919054305630644,6.486903940524548e-4,75.41,3.9208333333333316,2690572,750026,0.8378458921737852,0.23355859018957137,0.08735411268406504,1.1587585950474217,4.391723966982812,0.7598143790121565,4.566125114633045,4.449857682866223,3.7023668993731484,4.012373184031642,2074338,0.586,0.56,0.576103221764155
1,Alabama,AL,2014,0,0,0,1,0,4849377,2350416,2498961,1106022,3259312,1422053,1050153,3204860,1290717,190249,58003,21010,76288,8250,101594,94030,1060264,501295,2006929,473969,277119,26291.200000000004,38145.28020326322,18034.70791706762,38,38.68572231030914,0.4846841150935471,0.515315884906453,0.6608807688080345,0.3391192311919655,0.26616140588780784,0.0392316373835237,0.011960917866356854,0.0043325152901083994,0.015731505304702027,0.001701249459466649,75.52,3.966666666666665,2758017,751088,0.8461960683727118,0.2304437255469866,0.0850237718880549,1.1616635658077532,4.411090438718355,0.7455868381839496,4.159623948112845,4.327268275183185,3.439342301704374,3.893782087388529,1180413,0.32899999999999996,0.315,0.3234606399813664
1,Alabama,AL,2016,0,0,0,0,1,4863300,2360498,2502802,1098459,3299890,1392499,1084425,3196086,1302011,198993,60678,21751,77872,5909,95945,89229,1067978,498469,1985672,505233,310516,28000,40253.28578178091,19197.90671663274,38,38.98514712232435,0.4853696050007197,0.5146303949992803,0.6571846277219172,0.3428153722780828,0.2677217115950075,0.04091727839121584,0.01247671334279193,0.004472477535829581,0.01601217280447433,0.0012150186087635968,75.16,3.8166666666666655,2801421,815749,0.8489437526705436,0.24720490683022767,0.09409889420556443,1.1902475537063357,4.601650358042238,0.7669506405390596,4.770018301115989,4.657773005733488,3.875914554141853,4.099638679198475,2123372,0.588,0.563,0.5776920959013084
2,Alaska,AK,2008,1,0,0,0,0,686293,357554,328739,179234,425305,228451,79013,453479,21652,37420,36743,89421,45985,1593,17840,16644,163032,34264,275495,74640,40906,33045,46752.00934594354,28443.311141119022,32,33.8542109565448,0.5209932200969557,0.4790067799030443,0.6607658827935007,0.3392341172064993,0.031549207117076816,0.054524816659939704,0.05353835752368158,0.1302956608911937,0.06700490898202371,0.0023211660325837507,77.83,4.929166666666666,391041,115546,0.9194366395880603,0.27167797227871765,0.09618038819200339,1.2872950000587813,5.248633333725209,0.7136409996016652,3.24688570290472,4.581384123451713,5.024474374235065,4.841206581053512,326197,0.68,0.643,0.6651448263205653
2,Alaska,AK,2010,0,1,0,0,0,713985,372080,341905,188833,450658,230559,92244,458208,22219,40644,41490,102515,48071,838,23186,21912,168523,38657,283187,83956,44858,37154.88,48281.872791970316,28127.895147889656,33,34.37239998039174,0.5211313963178498,0.4788686036821502,0.641761381541629,0.358238618458371,0.031119701394286995,0.05692556566314418,0.05811046450555684,0.1435814477895194,0.06732774498063684,0.0011736941252267204,77.95,4.979166666666668,412001,128814,0.9142209835396243,0.2858353784910065,0.09953889645806797,1.2995952584886987,5.330635056591325,0.7309322125789928,3.7409203593997944,4.8007301575274814,5.837193653427393,5.186678796257231,256192,0.519,0.485,0.5090851283681742
2,Alaska,AK,2012,0,0,1,0,0,731449,383447,348002,184564,466051,234814,101834,461897,26544,43659,48409,102199,48699,42,23166,19298,166830,38033,293514,81222,53282,34239.78,46986.799479452384,27881.771339196854,34,34.92824106670458,0.5242293037518678,0.4757706962481321,0.6314821675878974,0.36851783241210256,0.03628961144249292,0.05968837198492308,0.06618233123567056,0.13972129294045108,0.06657880453729514,5.742027126976727e-5,78.15,5.062500000000002,428018,134504,0.9183930514042454,0.2886036077596658,0.11432654366153061,1.3213232028254418,5.475488018836279,0.7104772287853365,3.1564922510096145,4.702489429560724,5.270719487683579,5.006346704491387,300495,0.5870000000000001,0.5529999999999999,0.5695648300659417
2,Alaska,AK,2014,0,0,0,1,0,736732,388235,348497,185701,467514,235586,114733,455168,22786,49326,51970,101583,55183,716,24448,21066,167978,37732,293732,87538,48512,36403.200000000004,48301.273004964045,27815.597003519328,33,34.897046687262126,0.5269691013828638,0.4730308986171362,0.6178203200078183,0.3821796799921817,0.030928478741251906,0.06695243317787201,0.07054125516470032,0.13788324655369932,0.07490240684536575,9.718595092923886e-4,78.22,5.091666666666667,429782,136050,0.9192922564885757,0.2910073281227942,0.10376587652990071,1.3140654611412708,5.427103074275138,0.7130219962136969,3.2291998918199116,4.6944686801233955,5.695494064892964,5.144295860446505,282382,0.542,0.51,0.5328314133952242
2,Alaska,AK,2016,0,0,0,0,1,741894,390199,351695,187970,477768,233254,116219,454442,21344,51244,52674,111671,47804,2715,21334,19650,161979,35885,301886,87359,52638,36000,48425.938121240215,27743.862647494116,33,35.10561886199376,0.5259497987583132,0.47405020124168684,0.6125430317538624,0.3874569682461376,0.0287696085963763,0.06907186201802414,0.07099936109471164,0.1505215030718674,0.06443508102235629,0.0036595524428018017,77.71,4.879166666666664,441883,139997,0.9248903233368497,0.29302297349341105,0.11017481287989149,1.3280881097101522,5.520587398067681,0.69443182110489,2.698052031568286,4.579742275901216,5.61827614241427,5.007219053940022,318608,0.61,0.574,0.5963382084847849
